Mundial,Posición,Selección,Etapa,PTS,PJ,PG,PE,PP,GF,GC,Dif
Mundial 1962,9,Italia,Grupos 1ra Ronda,3,3,1,1,1,3,2,1
Mundial 1962,10,Argentina,Grupos 1ra Ronda,3,3,1,1,1,2,3,-1
Mundial 1962,11,México,Grupos 1ra Ronda,2,3,1,0,2,3,4,-1
Mundial 1962,12,España,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1
Mundial 1962,13,Uruguay,Grupos 1ra Ronda,2,3,1,0,2,4,6,-2
Mundial 1962,14,Colombia,Grupos 1ra Ronda,1,3,0,1,2,5,11,-6
Mundial 1962,15,Bulgaria,Grupos 1ra Ronda,1,3,0,1,2,1,7,-6
Mundial 1962,16,Suiza,Grupos 1ra Ronda,0,3,0,0,3,2,8,-6
Mundial 1958,1,Brasil,Final,11,6,5,1,0,16,4,12
Mundial 1958,2,Suecia,Final,9,6,4,1,1,12,7,5
Mundial 1958,3,Francia,Partido 3er Puesto,8,6,4,0,2,23,15,8
Mundial 1958,4,AlemaniaOccidental,Partido 3er Puesto,6,6,2,2,2,12,14,-2
Mundial 1958,5,Gales,Cuartos de Final,5,5,1,3,1,4,4,0
Mundial 1958,6,URSS,Cuartos de Final,5,5,2,1,2,5,6,-1
Mundial 1958,7,IrlandadelNorte,Cuartos de Final,5,5,2,1,2,6,10,-4
Mundial 1958,8,Yugoslavia,Cuartos de Final,4,4,1,2,1,7,7,0
Mundial 1958,9,Checoslovaquia,Grupos 1ra Ronda,3,4,1,1,2,9,6,3
Mundial 1958,10,Hungría,Grupos 1ra Ronda,3,4,1,1,2,7,5,2
Mundial 1958,11,Inglaterra,Grupos 1ra Ronda,3,4,0,3,1,4,5,-1
Mundial 1958,12,Paraguay,Grupos 1ra Ronda,3,3,1,1,1,9,12,-3
Mundial 1958,13,Argentina,Grupos 1ra Ronda,2,3,1,0,2,5,10,-5
Mundial 1958,14,Escocia,Grupos 1ra Ronda,1,3,0,1,2,4,6,-2
Mundial 1958,15,Austria,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5
Mundial 1958,16,México,Grupos 1ra Ronda,1,3,0,1,2,1,8,-7
Mundial 1954,1,AlemaniaOccidental,Final,10,6,5,0,1,25,14,11
Mundial 1954,2,Hungría,Final,8,5,4,0,1,27,10,17
Mundial 1954,3,Austria,Partido 3er Puesto,8,5,4,0,1,17,12,5
Mundial 1954,4,Uruguay,Partido 3er Puesto,6,5,3,0,2,16,9,7
Mundial 1954,5,Suiza,Cuartos de Final,4,4,2,0,2,11,11,0
Mundial 1954,6,Brasil,Cuartos de Final,3,3,1,1,1,8,5,3
Mundial 1954,7,Inglaterra,Cuartos de Final,3,3,1,1,1,8,8,0
Mundial 1954,8,Yugoslavia,Cuartos de Final,3,3,1,1,1,2,3,-1
Mundial 1954,9,Francia,Grupos 1ra Ronda,2,2,1,0,1,3,3,0
Mundial 1954,10,Italia,Grupos 1ra Ronda,2,3,1,0,2,6,7,-1
Mundial 1954,11,Turquía,Grupos 1ra Ronda,2,3,1,0,2,10,11,-1
Mundial 1954,12,Bélgica,Grupos 1ra Ronda,1,2,0,1,1,5,8,-3
Mundial 1954,13,México,Grupos 1ra Ronda,0,2,0,0,2,2,8,-6
Mundial 1954,14,Checoslovaquia,Grupos 1ra Ronda,0,2,0,0,2,0,7,-7
Mundial 1954,15,Escocia,Grupos 1ra Ronda,0,2,0,0,2,0,8,-8
Mundial 1954,16,CoreadelSur,Grupos 1ra Ronda,0,2,0,0,2,0,16,-16
Mundial 1950,1,Uruguay,Final,7,4,3,1,0,15,5,10
Mundial 1950,2,Brasil,Final,9,6,4,1,1,22,6,16
Mundial 1950,3,Suecia,Partido 3er Puesto,5,5,2,1,2,11,15,-4
Mundial 1950,4,España,Partido 3er Puesto,7,6,3,1,2,10,12,-2
Mundial 1950,5,Yugoslavia,Grupos 1ra Ronda,4,3,2,0,1,7,3,4
Mundial 1950,6,Suiza,Grupos 1ra Ronda,3,3,1,1,1,4,6,-2
Mundial 1950,7,Italia,Grupos 1ra Ronda,2,2,1,0,1,4,3,1
Mundial 1950,8,Inglaterra,Grupos 1ra Ronda,2,3,1,0,2,2,2,0
Mundial 1950,9,Chile,Grupos 1ra Ronda,2,3,1,0,2,5,6,-1
Mundial 1950,10,EstadosUnidos,Grupos 1ra Ronda,2,3,1,0,2,4,8,-4
Mundial 1950,11,Paraguay,Grupos 1ra Ronda,1,2,0,1,1,2,4,-2
Mundial 1950,12,México,Grupos 1ra Ronda,0,3,0,0,3,2,10,-8
Mundial 1950,13,Bolivia,Grupos 1ra Ronda,0,1,0,0,1,0,8,-8
Mundial 1938,1,Italia,Final,8,4,4,0,0,11,5,6
Mundial 1938,2,Hungría,Final,6,4,3,0,1,15,5,10
Mundial 1938,3,Brasil,Partido 3er Puesto,7,5,3,1,1,14,11,3
Mundial 1938,4,Suecia,Partido 3er Puesto,2,3,1,0,2,11,9,2
Mundial 1938,5,Checoslovaquia,Cuartos de Final,3,3,1,1,1,5,3,2
Mundial 1938,6,Suiza,Cuartos de Final,3,3,1,1,1,5,5,0
Mundial 1938,7,Cuba,Cuartos de Final,3,3,1,1,1,5,12,-7
Mundial 1938,8,Francia,Cuartos de Final,2,2,1,0,1,4,4,0
Mundial 1938,9,Rumania,Octavos de Final,1,2,0,1,1,4,5,-1
Mundial 1938,10,Alemania,Octavos de Final,1,2,0,1,1,3,5,-2
Mundial 1938,11,Polonia,Octavos de Final,0,1,0,0,1,5,6,-1
Mundial 1938,12,Noruega,Octavos de Final,0,1,0,0,1,1,2,-1
Mundial 1938,13,Bélgica,Octavos de Final,0,1,0,0,1,1,3,-2
Mundial 1938,14,Holanda,Octavos de Final,0,1,0,0,1,0,3,-3
Mundial 1938,15,IndiasOrientalesHoland,Octavos de Final,0,1,0,0,1,0,6,-6
Mundial 1938,16,Austria,Octavos de Final,0,0,0,0,0,0,0,0
Mundial 1934,1,Italia,Final,9,5,4,1,0,12,3,9
Mundial 1934,2,Checoslovaquia,Final,6,4,3,0,1,9,6,3
Mundial 1934,3,Alemania,Partido 3er Puesto,6,4,3,0,1,11,8,3
Mundial 1934,4,Austria,Partido 3er Puesto,4,4,2,0,2,7,7,0
Mundial 1934,5,España,Cuartos de Final,3,3,1,1,1,4,3,1
Mundial 1934,6,Hungría,Cuartos de Final,2,2,1,0,1,5,4,1
Mundial 1934,7,Suiza,Cuartos de Final,2,2,1,0,1,5,5,0
Mundial 1934,8,Suecia,Cuartos de Final,2,2,1,0,1,4,4,0
Mundial 1934,9,Argentina,Octavos de Final,0,1,0,0,1,2,3,-1
Mundial 1934,9,Francia,Octavos de Final,0,1,0,0,1,2,3,-1
Mundial 1934,9,Holanda,Octavos de Final,0,1,0,0,1,2,3,-1
Mundial 1934,12,Rumania,Octavos de Final,0,1,0,0,1,1,2,-1
Mundial 1934,13,Egipto,Octavos de Final,0,1,0,0,1,2,4,-2
Mundial 1934,14,Brasil,Octavos de Final,0,1,0,0,1,1,3,-2
Mundial 1934,15,Bélgica,Octavos de Final,0,1,0,0,1,2,5,-3
Mundial 1934,16,EstadosUnidos,Octavos de Final,0,1,0,0,1,1,7,-6
Mundial 1930,1,Uruguay,Final,8,4,4,0,0,15,3,12
Mundial 1930,2,Argentina,Final,8,5,4,0,1,18,9,9
Mundial 1930,3,EstadosUnidos,Partido 3er Puesto,4,3,2,0,1,7,6,1
Mundial 1930,4,Yugoslavia,Partido 3er Puesto,4,3,2,0,1,7,7,0
Mundial 1930,5,Chile,Grupos 1ra Ronda,4,3,2,0,1,5,3,2
Mundial 1930,6,Brasil,Grupos 1ra Ronda,2,2,1,0,1,5,2,3
Mundial 1930,7,Francia,Grupos 1ra Ronda,2,3,1,0,2,4,3,1
Mundial 1930,8,Rumania,Grupos 1ra Ronda,2,2,1,0,1,3,5,-2
Mundial 1930,9,Paraguay,Grupos 1ra Ronda,2,2,1,0,1,1,3,-2
Mundial 1930,10,Perú,Grupos 1ra Ronda,0,2,0,0,2,1,4,-3
Mundial 1930,11,Bélgica,Grupos 1ra Ronda,0,2,0,0,2,0,4,-4
Mundial 1930,12,Bolivia,Grupos 1ra Ronda,0,2,0,0,2,0,8,-8
Mundial 1930,13,México,Grupos 1ra Ronda,0,3,0,0,3,4,13,-9
