Mundial,link,Posicion,Jugador,Goles,Partidos,Promedio de Gol,Selección
Mundial 1982,/jugadores/jesus_zamora.php,103,Jesus Zamora,1 ,4,0.25,España
Mundial 1982,/jugadores/hector_zelaya.php,104,Hector Zelaya,1 ,3,0.33,Honduras
Mundial 1978,/jugadores/mario_kempes.php,1,Mario Kempes,6 ,7,0.86,Argentina
Mundial 1978,/jugadores/teofilo_cubillas.php,3,Teofilo Cubillas,5 ,6,0.83,Peru
Mundial 1978,/jugadores/rob_rensenbrink.php,4,Rob Rensenbrink,5 ,7,0.71,Holanda
Mundial 1978,/jugadores/hans_krankl.php,6,Hans Krankl,4 ,6,0.67,Austria
Mundial 1978,/jugadores/leopoldo_luque.php,7,Leopoldo Luque,4 ,5,0.80,Argentina
Mundial 1978,/jugadores/dirceu.php,9,Dirceu,3 ,7,0.43,Brasil
Mundial 1978,/jugadores/johnny_rep.php,10,Johnny Rep,3 ,7,0.43,Holanda
Mundial 1978,/jugadores/roberto_dinamite.php,11,Roberto Dinamite,3 ,5,0.60,Brasil
Mundial 1978,/jugadores/paolo_rossi.php,12,Paolo Rossi,3 ,7,0.43,Italia
Mundial 1978,/jugadores/karl_heinz_rummenigge.php,13,Karl-Heinz Rummenigge,3 ,5,0.60,AlemaniaOccidental
Mundial 1978,/jugadores/daniel_bertoni.php,15,Daniel Bertoni,2 ,6,0.33,Argentina
Mundial 1978,/jugadores/roberto_bettega.php,16,Roberto Bettega,2 ,7,0.29,Italia
Mundial 1978,/jugadores/zbigniew_boniek.php,17,Zbigniew Boniek,2 ,6,0.33,Polonia
Mundial 1978,/jugadores/ernie_brandts.php,18,Ernie Brandts,2 ,4,0.50,Holanda
Mundial 1978,/jugadores/heinz_flohe.php,19,Heinz Flohe,2 ,4,0.50,AlemaniaOccidental
Mundial 1978,/jugadores/archie_gemmill.php,20,Archie Gemmill,2 ,3,0.67,Escocia
Mundial 1978,/jugadores/arie_haan.php,21,Arie Haan,2 ,6,0.33,Holanda
Mundial 1978,/jugadores/grzegorz_lato.php,22,Grzegorz Lato,2 ,6,0.33,Polonia
Mundial 1978,/jugadores/dieter_mueller.php,23,Dieter Mueller,2 ,4,0.50,AlemaniaOccidental
Mundial 1978,/jugadores/nelinho.php,24,Nelinho,2 ,4,0.50,Brasil
Mundial 1978,/jugadores/ruediger_abramczik.php,26,Ruediger Abramczik,1 ,3,0.33,AlemaniaOccidental
Mundial 1978,/jugadores/juan_manuel_asensi.php,27,Juan Manuel Asensi,1 ,3,0.33,España
Mundial 1978,/jugadores/romeo_benetti.php,28,Romeo Benetti,1 ,6,0.17,Italia
Mundial 1978,/jugadores/marc_berdoll.php,29,Marc Berdoll,1 ,2,0.50,Francia
Mundial 1978,/jugadores/franco_causio.php,30,Franco Causio,1 ,7,0.14,Italia
Mundial 1978,/jugadores/karoly_csapo.php,31,Karoly Csapo,1 ,3,0.33,Hungria
Mundial 1978,/jugadores/cesar_cueto.php,32,Cesar Cueto,1 ,6,0.17,Peru
Mundial 1978,/jugadores/kenny_dalglish.php,33,Kenny Dalglish,1 ,3,0.33,Escocia
Mundial 1978,/jugadores/iraj_danayfar.php,34,Iraj Danayfar,1 ,2,0.50,Iran
Mundial 1978,/jugadores/dani.php,35,Dani,1 ,1,1.00,España
Mundial 1978,/jugadores/kazimierz_deyna.php,36,Kazimierz Deyna,1 ,6,0.17,Polonia
Mundial 1978,/jugadores/mokhtar_douieb.php,37,Mokhtar Douieb,1 ,3,0.33,Tunez
Mundial 1978,/jugadores/nejib_ghommidh.php,38,Nejib Ghommidh,1 ,3,0.33,Tunez
Mundial 1978,/jugadores/bernd_hoelzenbein.php,39,Bernd Hoelzenbein,1 ,3,0.33,AlemaniaOccidental
Mundial 1978,/jugadores/rene_houseman.php,40,Rene Houseman,1 ,6,0.17,Argentina
Mundial 1978,/jugadores/joe_jordan.php,41,Joe Jordan,1 ,3,0.33,Escocia
Mundial 1978,/jugadores/ali_kaabi.php,42,Ali Kaabi,1 ,3,0.33,Tunez
Mundial 1978,/jugadores/bernard_lacombe.php,43,Bernard Lacombe,1 ,2,0.50,Francia
Mundial 1978,/jugadores/christian_lopez.php,44,Christian Lopez,1 ,2,0.50,Francia
Mundial 1978,/jugadores/hansi_mueller.php,45,Hansi Mueller,1 ,4,0.25,AlemaniaOccidental
Mundial 1978,/jugadores/dick_nanninga.php,46,Dick Nanninga,1 ,4,0.25,Holanda
Mundial 1978,/jugadores/erich_obermayer.php,47,Erich Obermayer,1 ,6,0.17,Austria
Mundial 1978,/jugadores/daniel_passarella.php,48,Daniel Passarella,1 ,7,0.14,Argentina
Mundial 1978,/jugadores/michel_platini.php,49,Michel Platini,1 ,3,0.33,Francia
Mundial 1978,/jugadores/victor_rangel.php,50,Victor Rangel,1 ,3,0.33,Mexico
Mundial 1978,/jugadores/reinaldo.php,51,Reinaldo,1 ,3,0.33,Brasil
Mundial 1978,/jugadores/dominique_rocheteau.php,52,Dominique Rocheteau,1 ,2,0.50,Francia
Mundial 1978,/jugadores/hassan_rowshan.php,53,Hassan Rowshan,1 ,3,0.33,Iran
Mundial 1978,/jugadores/walter_schachner.php,54,Walter Schachner,1 ,3,0.33,Austria
Mundial 1978,/jugadores/thomas_sjoberg.php,55,Thomas Sjoberg,1 ,3,0.33,Suecia
Mundial 1978,/jugadores/andrzej_szarmach.php,56,Andrzej Szarmach,1 ,5,0.20,Polonia
Mundial 1978,/jugadores/alberto_tarantini.php,57,Alberto Tarantini,1 ,7,0.14,Argentina
Mundial 1978,/jugadores/andras_toth.php,58,Andras Toth,1 ,1,1.00,Hungria
Mundial 1978,/jugadores/rene_van_de_kerkhof.php,59,Rene Van De Kerkhof,1 ,7,0.14,Holanda
Mundial 1978,/jugadores/willy_van_de_kerkhof.php,60,Willy Van De Kerkhof,1 ,7,0.14,Holanda
Mundial 1978,/jugadores/arturo_vasquez.php,61,Arturo Vasquez,1 ,3,0.33,Mexico
Mundial 1978,/jugadores/jose_velasquez.php,62,Jose Velasquez,1 ,5,0.20,Peru
Mundial 1978,/jugadores/renato_zaccarelli.php,63,Renato Zaccarelli,1 ,5,0.20,Italia
Mundial 1978,/jugadores/zico.php,64,Zico,1 ,6,0.17,Brasil
Mundial 1978,/jugadores/sandor_zombori.php,65,Sandor Zombori,1 ,3,0.33,Hungria
Mundial 1974,/jugadores/grzegorz_lato.php,1,Grzegorz Lato,7 ,7,1.00,Polonia
Mundial 1974,/jugadores/johan_neeskens.php,3,Johan Neeskens,5 ,7,0.71,Holanda
Mundial 1974,/jugadores/andrzej_szarmach.php,4,Andrzej Szarmach,5 ,6,0.83,Polonia
Mundial 1974,/jugadores/ralf_edstrom.php,6,Ralf Edstrom,4 ,6,0.67,Suecia
Mundial 1974,/jugadores/gerd_mueller.php,7,Gerd Mueller,4 ,7,0.57,AlemaniaOccidental
Mundial 1974,/jugadores/johnny_rep.php,8,Johnny Rep,4 ,7,0.57,Holanda
Mundial 1974,/jugadores/dusan_bajevic.php,10,Dusan Bajevic,3 ,3,1.00,Yugoslavia
Mundial 1974,/jugadores/paul_breitner.php,11,Paul Breitner,3 ,7,0.43,AlemaniaOccidental
Mundial 1974,/jugadores/johan_cruyff.php,12,Johan Cruyff,3 ,7,0.43,Holanda
Mundial 1974,/jugadores/kazimierz_deyna.php,13,Kazimierz Deyna,3 ,7,0.43,Polonia
Mundial 1974,/jugadores/rene_houseman.php,14,Rene Houseman,3 ,6,0.50,Argentina
Mundial 1974,/jugadores/rivelino.php,15,Rivelino,3 ,7,0.43,Brasil
Mundial 1974,/jugadores/jairzinho.php,17,Jairzinho,2 ,7,0.29,Brasil
Mundial 1974,/jugadores/joe_jordan.php,18,Joe Jordan,2 ,3,0.67,Escocia
Mundial 1974,/jugadores/stanislav_karasi.php,19,Stanislav Karasi,2 ,4,0.50,Yugoslavia
Mundial 1974,/jugadores/wolfgang_overath.php,20,Wolfgang Overath,2 ,7,0.29,AlemaniaOccidental
Mundial 1974,/jugadores/roland_sandberg.php,21,Roland Sandberg,2 ,6,0.33,Suecia
Mundial 1974,/jugadores/emmanuel_sanon.php,22,Emmanuel Sanon,2 ,3,0.67,Haiti
Mundial 1974,/jugadores/joachim_streich.php,23,Joachim Streich,2 ,4,0.50,AlemaniaOriental
Mundial 1974,/jugadores/ivica_surjak.php,24,Ivica Surjak,2 ,6,0.33,Yugoslavia
Mundial 1974,/jugadores/hector_yazalde.php,25,Hector Yazalde,2 ,3,0.67,Argentina
Mundial 1974,/jugadores/sergio_ahumada.php,27,Sergio Ahumada,1 ,3,0.33,Chile
Mundial 1974,/jugadores/pietro_anastasi.php,28,Pietro Anastasi,1 ,3,0.33,Italia
Mundial 1974,/jugadores/ruben_ayala.php,29,Ruben Ayala,1 ,6,0.17,Argentina
Mundial 1974,/jugadores/carlos_babington.php,30,Carlos Babington,1 ,5,0.20,Argentina
Mundial 1974,/jugadores/romeo_benetti.php,31,Romeo Benetti,1 ,3,0.33,Italia
Mundial 1974,/jugadores/vladislav_bogicevic.php,32,Vladislav Bogicevic,1 ,5,0.20,Yugoslavia
Mundial 1974,/jugadores/hristo_bonev.php,33,Hristo Bonev,1 ,3,0.33,Bulgaria
Mundial 1974,/jugadores/rainer_bonhof.php,34,Rainer Bonhof,1 ,4,0.25,AlemaniaOccidental
Mundial 1974,/jugadores/miguel_brindisi.php,35,Miguel Brindisi,1 ,4,0.25,Argentina
Mundial 1974,/jugadores/fabio_capello.php,36,Fabio Capello,1 ,3,0.33,Italia
Mundial 1974,/jugadores/bernd_cullmann.php,37,Bernd Cullmann,1 ,3,0.33,AlemaniaOccidental
Mundial 1974,/jugadores/theo_de_jong.php,38,Theo De Jong,1 ,4,0.25,Holanda
Mundial 1974,/jugadores/dragan_dzajic.php,39,Dragan Dzajic,1 ,5,0.20,Yugoslavia
Mundial 1974,/jugadores/jerzy_gorgon.php,40,Jerzy Gorgon,1 ,7,0.14,Polonia
Mundial 1974,/jugadores/juergen_grabowski.php,41,Juergen Grabowski,1 ,6,0.17,AlemaniaOccidental
Mundial 1974,/jugadores/ramon_heredia.php,42,Ramon Heredia,1 ,6,0.17,Argentina
Mundial 1974,/jugadores/uli_hoeness.php,43,Uli Hoeness,1 ,7,0.14,AlemaniaOccidental
Mundial 1974,/jugadores/martin_hoffmann.php,44,Martin Hoffmann,1 ,6,0.17,AlemaniaOriental
Mundial 1974,/jugadores/josip_katalinski.php,45,Josip Katalinski,1 ,6,0.17,Yugoslavia
Mundial 1974,/jugadores/ruud_krol.php,46,Ruud Krol,1 ,7,0.14,Holanda
Mundial 1974,/jugadores/peter_lorimer.php,47,Peter Lorimer,1 ,3,0.33,Escocia
Mundial 1974,/jugadores/branko_oblak.php,48,Branko Oblak,1 ,5,0.20,Yugoslavia
Mundial 1974,/jugadores/ricardo_pavoni.php,49,Ricardo Pavoni,1 ,3,0.33,Uruguay
Mundial 1974,/jugadores/ilija_petkovic.php,50,Ilija Petkovic,1 ,5,0.20,Yugoslavia
Mundial 1974,/jugadores/rob_rensenbrink.php,51,Rob Rensenbrink,1 ,6,0.17,Holanda
Mundial 1974,/jugadores/gianni_rivera.php,52,Gianni Rivera,1 ,2,0.50,Italia
Mundial 1974,/jugadores/juergen_sparwasser.php,53,Juergen Sparwasser,1 ,6,0.17,AlemaniaOriental
Mundial 1974,/jugadores/conny_torstensson.php,54,Conny Torstensson,1 ,5,0.20,Suecia
Mundial 1974,/jugadores/valdomiro.php,55,Valdomiro,1 ,6,0.17,Brasil
Mundial 1970,/jugadores/gerd_mueller.php,1,Gerd Mueller,10 ,6,1.67,AlemaniaOccidental
Mundial 1970,/jugadores/jairzinho.php,3,Jairzinho,7 ,6,1.17,Brasil
Mundial 1970,/jugadores/teofilo_cubillas.php,5,Teofilo Cubillas,5 ,4,1.25,Peru
Mundial 1970,/jugadores/anatoly_bishovets.php,7,Anatoly Bishovets,4 ,4,1.00,URSS
Mundial 1970,/jugadores/pele.php,8,Pelé,4 ,6,0.67,Brasil
Mundial 1970,/jugadores/gigi_riva.php,10,Gigi Riva,3 ,6,0.50,Italia
Mundial 1970,/jugadores/rivelino.php,11,Rivelino,3 ,5,0.60,Brasil
Mundial 1970,/jugadores/uwe_seeler.php,12,Uwe Seeler,3 ,6,0.50,AlemaniaOccidental
Mundial 1970,/jugadores/roberto_boninsegna.php,14,Roberto Boninsegna,2 ,6,0.33,Italia
Mundial 1970,/jugadores/florea_dumitrache.php,15,Florea Dumitrache,2 ,3,0.67,Rumania
Mundial 1970,/jugadores/alberto_gallardo.php,16,Alberto Gallardo,2 ,4,0.50,Peru
Mundial 1970,/jugadores/raoul_lambert.php,17,Raoul Lambert,2 ,2,1.00,Belgica
Mundial 1970,/jugadores/ladislav_petras.php,18,Ladislav Petras,2 ,3,0.67,Checoslovaquia
Mundial 1970,/jugadores/gianni_rivera.php,19,Gianni Rivera,2 ,4,0.50,Italia
Mundial 1970,/jugadores/tostao.php,20,Tostao,2 ,6,0.33,Brasil
Mundial 1970,/jugadores/javier_valdivia.php,21,Javier Valdivia,2 ,4,0.50,Mexico
Mundial 1970,/jugadores/wilfried_van_moer.php,22,Wilfried Van Moer,2 ,3,0.67,Belgica
Mundial 1970,/jugadores/kakhi_asatiani.php,24,Kakhi Asatiani,1 ,4,0.25,URSS
Mundial 1970,/jugadores/juan_ignacio_basaguren.php,25,Juan Ignacio Basaguren,1 ,2,0.50,Mexico
Mundial 1970,/jugadores/franz_beckenbauer.php,26,Franz Beckenbauer,1 ,5,0.20,AlemaniaOccidental
Mundial 1970,/jugadores/hristo_bonev.php,27,Hristo Bonev,1 ,3,0.33,Bulgaria
Mundial 1970,/jugadores/tarcisio_burgnich.php,28,Tarcisio Burgnich,1 ,6,0.17,Italia
Mundial 1970,/jugadores/carlos_alberto.php,29,Carlos Alberto,1 ,6,0.17,Brasil
Mundial 1970,/jugadores/roberto_challe.php,30,Roberto Challe,1 ,4,0.25,Peru
Mundial 1970,/jugadores/hector_chumpitaz.php,31,Hector Chumpitaz,1 ,4,0.25,Peru
Mundial 1970,/jugadores/allan_clarke.php,32,Allan Clarke,1 ,1,1.00,Inglaterra
Mundial 1970,/jugadores/clodoaldo.php,33,Clodoaldo,1 ,6,0.17,Brasil
Mundial 1970,/jugadores/luis_cubilla.php,34,Luis Cubilla,1 ,5,0.20,Uruguay
Mundial 1970,/jugadores/emerich_dembrovschi.php,35,Emerich Dembrovschi,1 ,3,0.33,Rumania
Mundial 1970,/jugadores/dinko_dermendzhiev.php,36,Dinko Dermendzhiev,1 ,2,0.50,Bulgaria
Mundial 1970,/jugadores/angelo_domenghini.php,37,Angelo Domenghini,1 ,6,0.17,Italia
Mundial 1970,/jugadores/victor_esparrago.php,38,Victor Esparrago,1 ,6,0.17,Uruguay
Mundial 1970,/jugadores/javier_fragoso.php,39,Javier Fragoso,1 ,4,0.25,Mexico
Mundial 1970,/jugadores/gerson.php,40,Gerson,1 ,4,0.25,Brasil
Mundial 1970,/jugadores/mahjoub_ghazouani.php,41,Mahjoub Ghazouani,1 ,3,0.33,Marruecos
Mundial 1970,/jugadores/jose_gonzalez.php,42,Jose Gonzalez,1 ,3,0.33,Mexico
Mundial 1970,/jugadores/ove_grahn.php,43,Ove Grahn,1 ,2,0.50,Suecia
Mundial 1970,/jugadores/geoff_hurst.php,44,Geoff Hurst,1 ,3,0.33,Inglaterra
Mundial 1970,/jugadores/houmane_jarir.php,45,Houmane Jarir,1 ,2,0.50,Marruecos
Mundial 1970,/jugadores/vitali_khmelnitski.php,46,Vitali Khmelnitski,1 ,4,0.25,URSS
Mundial 1970,/jugadores/todor_kolev.php,47,Todor Kolev,1 ,2,0.50,Bulgaria
Mundial 1970,/jugadores/stan_libuda.php,48,Stan Libuda,1 ,5,0.20,AlemaniaOccidental
Mundial 1970,/jugadores/ildo_maneiro.php,49,Ildo Maneiro,1 ,6,0.17,Uruguay
Mundial 1970,/jugadores/juan_mujica.php,50,Juan Mujica,1 ,6,0.17,Uruguay
Mundial 1970,/jugadores/alan_mullery.php,51,Alan Mullery,1 ,4,0.25,Inglaterra
Mundial 1970,/jugadores/alexandru_neagu.php,52,Alexandru Neagu,1 ,3,0.33,Rumania
Mundial 1970,/jugadores/asparukh_nikodimov.php,53,Asparukh Nikodimov,1 ,2,0.50,Bulgaria
Mundial 1970,/jugadores/wolfgang_overath.php,54,Wolfgang Overath,1 ,6,0.17,AlemaniaOccidental
Mundial 1970,/jugadores/gustavo_pena.php,55,Gustavo Pena,1 ,4,0.25,Mexico
Mundial 1970,/jugadores/martin_peters.php,56,Martin Peters,1 ,4,0.25,Inglaterra
Mundial 1970,/jugadores/karl_heinz_schnellinger.php,57,Karl-Heinz Schnellinger,1 ,5,0.20,AlemaniaOccidental
Mundial 1970,/jugadores/mordechai_spiegler.php,58,Mordechai Spiegler,1 ,3,0.33,Israel
Mundial 1970,/jugadores/tom_turesson.php,59,Tom Turesson,1 ,2,0.50,Suecia
Mundial 1970,/jugadores/dobromir_zhechev.php,60,Dobromir Zhechev,1 ,2,0.50,Bulgaria
Mundial 1966,/jugadores/eusebio.php,1,Eusebio,9 ,6,1.50,Portugal
Mundial 1966,/jugadores/helmut_haller.php,3,Helmut Haller,6 ,5,1.20,AlemaniaOccidental
Mundial 1966,/jugadores/franz_beckenbauer.php,5,Franz Beckenbauer,4 ,6,0.67,AlemaniaOccidental
Mundial 1966,/jugadores/ferenc_bene.php,6,Ferenc Bene,4 ,4,1.00,Hungria
Mundial 1966,/jugadores/geoff_hurst.php,7,Geoff Hurst,4 ,3,1.33,Inglaterra
Mundial 1966,/jugadores/valeriy_porkuyan.php,8,Valeriy Porkuyan,4 ,3,1.33,URSS
Mundial 1966,/jugadores/luis_artime.php,10,Luis Artime,3 ,4,0.75,Argentina
Mundial 1966,/jugadores/bobby_charlton.php,11,Bobby Charlton,3 ,6,0.50,Inglaterra
Mundial 1966,/jugadores/roger_hunt.php,12,Roger Hunt,3 ,6,0.50,Inglaterra
Mundial 1966,/jugadores/jose_augusto.php,13,Jose Augusto,3 ,6,0.50,Portugal
Mundial 1966,/jugadores/eduard_malofeyev.php,14,Eduard Malofeyev,3 ,5,0.60,URSS
Mundial 1966,/jugadores/jose_torres.php,15,Jose Torres,3 ,6,0.50,Portugal
Mundial 1966,/jugadores/igor_chislenko.php,17,Igor Chislenko,2 ,4,0.50,URSS
Mundial 1966,/jugadores/ruben_marcos.php,18,Ruben Marcos,2 ,3,0.67,Chile
Mundial 1966,/jugadores/kalman_meszoly.php,19,Kalman Meszoly,2 ,4,0.50,Hungria
Mundial 1966,/jugadores/seung_zin_pak.php,20,Seung Zin Pak,2 ,4,0.50,CoreadelNorte
Mundial 1966,/jugadores/uwe_seeler.php,21,Uwe Seeler,2 ,6,0.33,AlemaniaOccidental
Mundial 1966,/jugadores/amancio.php,23,Amancio,1 ,2,0.50,España
Mundial 1966,/jugadores/georgi_asparukhov.php,24,Georgi Asparukhov,1 ,3,0.33,Bulgaria
Mundial 1966,/jugadores/anatoli_banishevski.php,25,Anatoli Banishevski,1 ,5,0.20,URSS
Mundial 1966,/jugadores/paolo_barison.php,26,Paolo Barison,1 ,2,0.50,Italia
Mundial 1966,/jugadores/enrique_borja.php,27,Enrique Borja,1 ,3,0.33,Mexico
Mundial 1966,/jugadores/julio_cortes.php,28,Julio Cortes,1 ,4,0.25,Uruguay
Mundial 1966,/jugadores/hector_de_bourgoing.php,29,Hector De Bourgoing,1 ,1,1.00,Francia
Mundial 1966,/jugadores/lothar_emmerich.php,30,Lothar Emmerich,1 ,4,0.25,AlemaniaOccidental
Mundial 1966,/jugadores/janos_farkas.php,31,Janos Farkas,1 ,4,0.25,Hungria
Mundial 1966,/jugadores/jose_maria_fuste.php,32,Jose Maria Fuste,1 ,1,1.00,España
Mundial 1966,/jugadores/garrincha.php,33,Garrincha,1 ,2,0.50,Brasil
Mundial 1966,/jugadores/gerard_hausser.php,34,Gerard Hausser,1 ,3,0.33,Francia
Mundial 1966,/jugadores/sigi_held.php,35,Sigi Held,1 ,6,0.17,AlemaniaOccidental
Mundial 1966,/jugadores/dong_woon_li.php,36,Dong Woon Li,1 ,2,0.50,CoreadelNorte
Mundial 1966,/jugadores/sandro_mazzola.php,37,Sandro Mazzola,1 ,3,0.33,Italia
Mundial 1966,/jugadores/ermindo_onega.php,38,Ermindo Onega,1 ,4,0.25,Argentina
Mundial 1966,/jugadores/doo_ik_pak.php,39,Doo Ik Pak,1 ,4,0.25,CoreadelNorte
Mundial 1966,/jugadores/pele.php,40,Pelé,1 ,2,0.50,Brasil
Mundial 1966,/jugadores/martin_peters.php,41,Martin Peters,1 ,5,0.20,Inglaterra
Mundial 1966,/jugadores/pirri.php,42,Pirri,1 ,2,0.50,España
Mundial 1966,/jugadores/rene_quentin.php,43,Rene Quentin,1 ,2,0.50,Suiza
Mundial 1966,/jugadores/rildo.php,44,Rildo,1 ,1,1.00,Brasil
Mundial 1966,/jugadores/pedro_rocha.php,45,Pedro Rocha,1 ,4,0.25,Uruguay
Mundial 1966,/jugadores/manuel_sanchis.php,46,Manuel Sanchis,1 ,3,0.33,España
Mundial 1966,/jugadores/simoes.php,47,Simoes,1 ,6,0.17,Portugal
Mundial 1966,/jugadores/tostao.php,48,Tostao,1 ,1,1.00,Brasil
Mundial 1966,/jugadores/wolfgang_weber.php,49,Wolfgang Weber,1 ,6,0.17,AlemaniaOccidental
Mundial 1966,/jugadores/seung_kook_yang.php,50,Seung Kook Yang,1 ,2,0.50,CoreadelNorte
Mundial 1962,/jugadores/florian_albert.php,1,Florian Albert,4 ,3,1.33,Hungria
Mundial 1962,/jugadores/garrincha.php,2,Garrincha,4 ,6,0.67,Brasil
Mundial 1962,/jugadores/valentin_ivanov.php,3,Valentin Ivanov,4 ,4,1.00,URSS
Mundial 1962,/jugadores/drazen_jerkovic.php,4,Drazen Jerkovic,4 ,6,0.67,Yugoslavia
Mundial 1962,/jugadores/leonel_sanchez.php,5,Leonel Sanchez,4 ,6,0.67,Chile
Mundial 1962,/jugadores/vava.php,6,Vava,4 ,6,0.67,Brasil
Mundial 1962,/jugadores/amarildo.php,8,Amarildo,3 ,4,0.75,Brasil
Mundial 1962,/jugadores/milan_galic.php,9,Milan Galic,3 ,6,0.50,Yugoslavia
Mundial 1962,/jugadores/adolf_scherer.php,10,Adolf Scherer,3 ,6,0.50,Checoslovaquia
Mundial 1962,/jugadores/lajos_tichy.php,11,Lajos Tichy,3 ,4,0.75,Hungria
Mundial 1962,/jugadores/giacomo_bulgarelli.php,13,Giacomo Bulgarelli,2 ,1,2.00,Italia
Mundial 1962,/jugadores/igor_chislenko.php,14,Igor Chislenko,2 ,3,0.67,URSS
Mundial 1962,/jugadores/ron_flowers.php,15,Ron Flowers,2 ,4,0.50,Inglaterra
Mundial 1962,/jugadores/viktor_ponedelnik.php,16,Viktor Ponedelnik,2 ,4,0.50,URSS
Mundial 1962,/jugadores/jaime_ramirez.php,17,Jaime Ramirez,2 ,6,0.33,Chile
Mundial 1962,/jugadores/eladio_rojas.php,18,Eladio Rojas,2 ,6,0.33,Chile
Mundial 1962,/jugadores/jose_sasia.php,19,Jose Sasia,2 ,3,0.67,Uruguay
Mundial 1962,/jugadores/uwe_seeler.php,20,Uwe Seeler,2 ,4,0.50,AlemaniaOccidental
Mundial 1962,/jugadores/jorge_toro.php,21,Jorge Toro,2 ,5,0.40,Chile
Mundial 1962,/jugadores/german_aceros.php,23,German Aceros,1 ,3,0.33,Colombia
Mundial 1962,/jugadores/adelardo.php,24,Adelardo,1 ,1,1.00,España
Mundial 1962,/jugadores/albert_bruells.php,25,Albert Bruells,1 ,4,0.25,AlemaniaOccidental
Mundial 1962,/jugadores/angel_cabrera.php,26,Angel Cabrera,1 ,2,0.50,Uruguay
Mundial 1962,/jugadores/bobby_charlton.php,27,Bobby Charlton,1 ,4,0.25,Inglaterra
Mundial 1962,/jugadores/marcos_coll.php,28,Marcos Coll,1 ,3,0.33,Colombia
Mundial 1962,/jugadores/luis_cubilla.php,29,Luis Cubilla,1 ,2,0.50,Uruguay
Mundial 1962,/jugadores/alfredo_del_aguila.php,30,Alfredo Del Aguila,1 ,3,0.33,Mexico
Mundial 1962,/jugadores/isidoro_diaz.php,31,Isidoro Diaz,1 ,3,0.33,Mexico
Mundial 1962,/jugadores/hector_facundo.php,32,Hector Facundo,1 ,2,0.50,Argentina
Mundial 1962,/jugadores/jimmy_greaves.php,33,Jimmy Greaves,1 ,4,0.25,Inglaterra
Mundial 1962,/jugadores/hector_hernandez.php,34,Hector Hernandez,1 ,3,0.33,Mexico
Mundial 1962,/jugadores/gerry_hitchens.php,35,Gerry Hitchens,1 ,2,0.50,Inglaterra
Mundial 1962,/jugadores/josef_kadraba.php,36,Josef Kadraba,1 ,3,0.33,Checoslovaquia
Mundial 1962,/jugadores/marino_klinger.php,37,Marino Klinger,1 ,3,0.33,Colombia
Mundial 1962,/jugadores/aleksei_mamykin.php,38,Aleksei Mamykin,1 ,2,0.50,URSS
Mundial 1962,/jugadores/vaclav_masek.php,39,Vaclav Masek,1 ,1,1.00,Checoslovaquia
Mundial 1962,/jugadores/josef_masopust.php,40,Josef Masopust,1 ,6,0.17,Checoslovaquia
Mundial 1962,/jugadores/vojislav_melic.php,41,Vojislav Melic,1 ,2,0.50,Yugoslavia
Mundial 1962,/jugadores/bruno_mora.php,42,Bruno Mora,1 ,2,0.50,Italia
Mundial 1962,/jugadores/joaquin_peiro.php,43,Joaquin Peiro,1 ,2,0.50,España
Mundial 1962,/jugadores/pele.php,44,Pelé,1 ,2,0.50,Brasil
Mundial 1962,/jugadores/antonio_rada.php,45,Antonio Rada,1 ,2,0.50,Colombia
Mundial 1962,/jugadores/petar_radakovic.php,46,Petar Radakovic,1 ,5,0.20,Yugoslavia
Mundial 1962,/jugadores/jose_sanfilippo.php,47,Jose Sanfilippo,1 ,2,0.50,Argentina
Mundial 1962,/jugadores/heinz_schneiter.php,48,Heinz Schneiter,1 ,3,0.33,Suiza
Mundial 1962,/jugadores/josip_skoblar.php,49,Josip Skoblar,1 ,5,0.20,Yugoslavia
Mundial 1962,/jugadores/georgi_sokolov.php,50,Georgi Sokolov,1 ,2,0.50,Bulgaria
Mundial 1962,/jugadores/erno_solymosi.php,51,Erno Solymosi,1 ,4,0.25,Hungria
Mundial 1962,/jugadores/josef_stibranyi.php,52,Josef Stibranyi,1 ,3,0.33,Checoslovaquia
Mundial 1962,/jugadores/horst_szymaniak.php,53,Horst Szymaniak,1 ,4,0.25,AlemaniaOccidental
Mundial 1962,/jugadores/rolf_wuethrich.php,54,Rolf Wuethrich,1 ,3,0.33,Suiza
Mundial 1962,/jugadores/zagallo.php,55,Zagallo,1 ,6,0.17,Brasil
Mundial 1962,/jugadores/zito.php,56,Zito,1 ,6,0.17,Brasil
Mundial 1962,/jugadores/francisco_zuluaga.php,57,Francisco Zuluaga,1 ,1,1.00,Colombia
Mundial 1958,/jugadores/just_fontaine.php,1,Just Fontaine,13 ,6,2.17,Francia
Mundial 1958,/jugadores/pele.php,3,Pelé,6 ,4,1.50,Brasil
Mundial 1958,/jugadores/helmut_rahn.php,4,Helmut Rahn,6 ,6,1.00,AlemaniaOccidental
Mundial 1958,/jugadores/peter_mcparland.php,6,Peter Mcparland,5 ,5,1.00,IrlandadelNorte
Mundial 1958,/jugadores/vava.php,7,Vava,5 ,4,1.25,Brasil
Mundial 1958,/jugadores/kurt_hamrin.php,9,Kurt Hamrin,4 ,5,0.80,Suecia
Mundial 1958,/jugadores/agne_simonsson.php,10,Agne Simonsson,4 ,5,0.80,Suecia
Mundial 1958,/jugadores/lajos_tichy.php,11,Lajos Tichy,4 ,4,1.00,Hungria
