Mundia,local,visitante,Link,Pais,Minuto,Sale,Entra
Mundial 1986,Inglaterra,Marruecos,https://www.losmundialesdefutbol.com/../partidos/1986_inglaterra_marruecos.php,Inglaterra,Minuto76,A._Gary,Hateley_Mark
Mundial 1986,Inglaterra,Marruecos,https://www.losmundialesdefutbol.com/../partidos/1986_inglaterra_marruecos.php,Marruecos,Minuto73,Oudani_Lahcen,Lamriss_Abdelmajid
Mundial 1986,Inglaterra,Marruecos,https://www.losmundialesdefutbol.com/../partidos/1986_inglaterra_marruecos.php,Marruecos,Minuto87,Aziz_Abdel,Merry_Mustafa
Mundial 1986,Polonia,Portugal,https://www.losmundialesdefutbol.com/../partidos/1986_polonia_portugal.php,Polonia,Minuto57,Karas_Jan,Komornicki_Ryszard
Mundial 1986,Polonia,Portugal,https://www.losmundialesdefutbol.com/../partidos/1986_polonia_portugal.php,Polonia,Minuto74,Zgutczynski_Andrzej,Smolarek_Wlodimierz
Mundial 1986,Polonia,Portugal,https://www.losmundialesdefutbol.com/../partidos/1986_polonia_portugal.php,Portugal,Minuto46(enelentretiempo),Futre,Gomes
Mundial 1986,Polonia,Portugal,https://www.losmundialesdefutbol.com/../partidos/1986_polonia_portugal.php,Portugal,Minuto72,Magalhaes_Jaime,Andre
Mundial 1986,México,Paraguay,https://www.losmundialesdefutbol.com/../partidos/1986_mexico_paraguay.php,México,Minuto58,Espana_Miguel,Boy_Tomas
Mundial 1986,México,Paraguay,https://www.losmundialesdefutbol.com/../partidos/1986_mexico_paraguay.php,México,Minuto77,Cruz_Francisco,Flores_Luis
Mundial 1986,México,Paraguay,https://www.losmundialesdefutbol.com/../partidos/1986_mexico_paraguay.php,Paraguay,Minuto62,Guasch_Jorge,Mendoza_Alfredo
Mundial 1986,México,Paraguay,https://www.losmundialesdefutbol.com/../partidos/1986_mexico_paraguay.php,Paraguay,Minuto80,Hicks_Ramon,Torales_Juan
Mundial 1986,IrlandadelNorte,España,https://www.losmundialesdefutbol.com/../partidos/1986_irlanda_del_norte_espana.php,IrlandadelNorte,Minuto54,Stewart_Ian,Penney_Steven
Mundial 1986,IrlandadelNorte,España,https://www.losmundialesdefutbol.com/../partidos/1986_irlanda_del_norte_espana.php,IrlandadelNorte,Minuto70,Hamilton_Billy,Worthington_Nigel
Mundial 1986,IrlandadelNorte,España,https://www.losmundialesdefutbol.com/../partidos/1986_irlanda_del_norte_espana.php,España,Minuto54,Maria_Ramon,Gordillo_Rafael
Mundial 1986,IrlandadelNorte,España,https://www.losmundialesdefutbol.com/../partidos/1986_irlanda_del_norte_espana.php,España,Minuto78,Antonio_Juan,Salinas_Julio
Mundial 1986,AlemaniaOccidental,Escocia,https://www.losmundialesdefutbol.com/../partidos/1986_alemania_occidental_escocia.php,AlemaniaOccidental,Minuto63,Jakobs_Ditmar,Briegel_Hans-Peter
Mundial 1986,AlemaniaOccidental,Escocia,https://www.losmundialesdefutbol.com/../partidos/1986_alemania_occidental_escocia.php,AlemaniaOccidental,Minuto76,Rummenigge_Karl-Heinz,Littbarski_Pierre
Mundial 1986,AlemaniaOccidental,Escocia,https://www.losmundialesdefutbol.com/../partidos/1986_alemania_occidental_escocia.php,Escocia,Minuto60,Mcavennie_Frank,Nicol_Stephen
