Mundia,local,visitante,Link,Pais,Minuto,Sale,Entra
Mundial 1990,Brasil,Argentina,https://www.losmundialesdefutbol.com/../partidos/1990_brasil_argentina.php,Brasil,Minuto83,Gaucho_Renato,Galvao_Mauro
Mundial 1990,Brasil,Argentina,https://www.losmundialesdefutbol.com/../partidos/1990_brasil_argentina.php,Brasil,Minuto83,Silas,Gomes_Ricardo
Mundial 1990,Brasil,Argentina,https://www.losmundialesdefutbol.com/../partidos/1990_brasil_argentina.php,Argentina,Minuto61,Calderon_Gabriel,Troglio_Pedro
Mundial 1990,AlemaniaOccidental,Holanda,https://www.losmundialesdefutbol.com/../partidos/1990_alemania_occidental_holanda.php,AlemaniaOccidental,Minuto77,Riedle_Karlheinz,Klinsmann_Juergen
Mundial 1990,AlemaniaOccidental,Holanda,https://www.losmundialesdefutbol.com/../partidos/1990_alemania_occidental_holanda.php,Holanda,Minuto66,Kieft_Wim,Van_Berry
Mundial 1990,AlemaniaOccidental,Holanda,https://www.losmundialesdefutbol.com/../partidos/1990_alemania_occidental_holanda.php,Holanda,Minuto78,Gillhaus_Hans,Witschge_Richard
Mundial 1990,Irlanda,Rumania,https://www.losmundialesdefutbol.com/../partidos/1990_irlanda_rumania.php,Irlanda,Minuto22,Cascarino_Tony,Aldridge_John
Mundial 1990,Irlanda,Rumania,https://www.losmundialesdefutbol.com/../partidos/1990_irlanda_rumania.php,Irlanda,Minuto94,O'Leary_David,Staunton_Steve
Mundial 1990,Irlanda,Rumania,https://www.losmundialesdefutbol.com/../partidos/1990_irlanda_rumania.php,Rumania,Minuto75,Lupu_Danut,Raducioiu_Florin
Mundial 1990,Irlanda,Rumania,https://www.losmundialesdefutbol.com/../partidos/1990_irlanda_rumania.php,Rumania,Minuto98,Timofte_Daniel,Sabau_Ioan
Mundial 1990,Italia,Uruguay,https://www.losmundialesdefutbol.com/../partidos/1990_italia_uruguay.php,Italia,Minuto52,Serena_Aldo,Berti_Nicola
Mundial 1990,Italia,Uruguay,https://www.losmundialesdefutbol.com/../partidos/1990_italia_uruguay.php,Italia,Minuto79,Vierchowod_Pietro,Baggio_Roberto
Mundial 1990,Italia,Uruguay,https://www.losmundialesdefutbol.com/../partidos/1990_italia_uruguay.php,Uruguay,Minuto55,Sosa_Ruben,Aguilera_Carlos
Mundial 1990,Italia,Uruguay,https://www.losmundialesdefutbol.com/../partidos/1990_italia_uruguay.php,Uruguay,Minuto79,Alzamendi_Antonio,Ostolaza_Santiago
Mundial 1990,España,Yugoslavia,https://www.losmundialesdefutbol.com/../partidos/1990_espana_yugoslavia.php,España,Minuto49,Jimenez_Manuel,Andrinua
Mundial 1990,España,Yugoslavia,https://www.losmundialesdefutbol.com/../partidos/1990_espana_yugoslavia.php,España,Minuto79,Paz_Rafa,Butragueño_Emilio
Mundial 1990,España,Yugoslavia,https://www.losmundialesdefutbol.com/../partidos/1990_espana_yugoslavia.php,Yugoslavia,Minuto55,Savicevic_Dejan,Pancev_Darko
Mundial 1990,España,Yugoslavia,https://www.losmundialesdefutbol.com/../partidos/1990_espana_yugoslavia.php,Yugoslavia,Minuto79,Vulic_Zoran,Katanec_Srecko
Mundial 1990,Inglaterra,Bélgica,https://www.losmundialesdefutbol.com/../partidos/1990_inglaterra_belgica.php,Inglaterra,Minuto71,Platt_David,Mcmahon_Steve
Mundial 1990,Inglaterra,Bélgica,https://www.losmundialesdefutbol.com/../partidos/1990_inglaterra_belgica.php,Inglaterra,Minuto74,Bull_Steve,Barnes_John
Mundial 1990,Inglaterra,Bélgica,https://www.losmundialesdefutbol.com/../partidos/1990_inglaterra_belgica.php,Bélgica,Minuto64,Claesen_Nico,De_Marc
Mundial 1990,Inglaterra,Bélgica,https://www.losmundialesdefutbol.com/../partidos/1990_inglaterra_belgica.php,Bélgica,Minuto107,Vervoort_Patrick,Versavel_Bruno
Mundial 1990,Argentina,Yugoslavia,https://www.losmundialesdefutbol.com/../partidos/1990_argentina_yugoslavia.php,Argentina,Minuto51,Troglio_Pedro,Olarticoechea_Julio
Mundial 1990,Argentina,Yugoslavia,https://www.losmundialesdefutbol.com/../partidos/1990_argentina_yugoslavia.php,Argentina,Minuto87,Dezotti_Gustavo,Calderon_Gabriel
Mundial 1990,Argentina,Yugoslavia,https://www.losmundialesdefutbol.com/../partidos/1990_argentina_yugoslavia.php,Yugoslavia,Minuto61,Savicevic_Dejan,Susic_Safet
Mundial 1990,Italia,Irlanda,https://www.losmundialesdefutbol.com/../partidos/1990_italia_irlanda.php,Italia,Minuto62,Ancelotti_Carlo,Giannini_Giuseppe
Mundial 1990,Italia,Irlanda,https://www.losmundialesdefutbol.com/../partidos/1990_italia_irlanda.php,Italia,Minuto70,Serena_Aldo,Baggio_Roberto
Mundial 1990,Italia,Irlanda,https://www.losmundialesdefutbol.com/../partidos/1990_italia_irlanda.php,Irlanda,Minuto53,Cascarino_Tony,Quinn_Niall
Mundial 1990,Italia,Irlanda,https://www.losmundialesdefutbol.com/../partidos/1990_italia_irlanda.php,Irlanda,Minuto78,Sheridan_John,Aldridge_John
Mundial 1990,AlemaniaOccidental,Checoslovaquia,https://www.losmundialesdefutbol.com/../partidos/1990_alemania_occidental_checoslovaquia.php,AlemaniaOccidental,Minuto82,Moeller_Andreas,Bein_Uwe
Mundial 1990,AlemaniaOccidental,Checoslovaquia,https://www.losmundialesdefutbol.com/../partidos/1990_alemania_occidental_checoslovaquia.php,Checoslovaquia,Minuto67,Nemecek_Vaclav,Bilek_Michal
Mundial 1990,AlemaniaOccidental,Checoslovaquia,https://www.losmundialesdefutbol.com/../partidos/1990_alemania_occidental_checoslovaquia.php,Checoslovaquia,Minuto80,Griga_Stanislav,Kubik_Lubos
Mundial 1990,Camerún,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_camerun_inglaterra.php,Camerún,Minuto46,Milla_Roger,Maboang_Emmanuel
Mundial 1990,Camerún,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_camerun_inglaterra.php,Camerún,Minuto62,Ekeke_Eugene,Mfede_Louis
Mundial 1990,Camerún,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_camerun_inglaterra.php,Inglaterra,Minuto46(enelentretiempo),Beardsley_Peter,Barnes_John
Mundial 1990,Camerún,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_camerun_inglaterra.php,Inglaterra,Minuto74,Steven_Trevor,Butcher_Terry
Mundial 1990,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1990_italia_argentina.php,Italia,Minuto70,Serena_Aldo,Vialli_Gianluca
Mundial 1990,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1990_italia_argentina.php,Italia,Minuto73,Baggio_Roberto,Giannini_Giuseppe
Mundial 1990,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1990_italia_argentina.php,Argentina,Minuto46(enelentretiempo),Troglio_Pedro,Calderon_Gabriel
Mundial 1990,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1990_italia_argentina.php,Argentina,Minuto99,Batista_Sergio,Basualdo_Jose
Mundial 1990,Inglaterra,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1990_inglaterra_alemania_occidental.php,Inglaterra,Minuto70,Steven_Trevor,Butcher_Terry
Mundial 1990,Inglaterra,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1990_inglaterra_alemania_occidental.php,AlemaniaOccidental,Minuto38,Riedle_Karlheinz,Voeller_Rudi
Mundial 1990,Inglaterra,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1990_inglaterra_alemania_occidental.php,AlemaniaOccidental,Minuto67,Reuter_Stefan,Haessler_Thomas
Mundial 1990,Italia,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_italia_inglaterra.php,Italia,Minuto67,Berti_Nicola,De_Luigi
Mundial 1990,Italia,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_italia_inglaterra.php,Italia,Minuto90,Ferri_Riccardo,Giannini_Giuseppe
Mundial 1990,Italia,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_italia_inglaterra.php,Inglaterra,Minuto72,Webb_Neil,Wright_Mark
Mundial 1990,Italia,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1990_italia_inglaterra.php,Inglaterra,Minuto72,Waddle_Chris,Mcmahon_Steve
Mundial 1990,Argentina,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1990_argentina_alemania_occidental.php,Argentina,Minuto46(enelentretiempo),Monzon_Pedro,Ruggeri_Oscar
Mundial 1990,Argentina,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1990_argentina_alemania_occidental.php,Argentina,Minuto53,Calderon_Gabriel,Burruchaga_Jorge
Mundial 1990,Argentina,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1990_argentina_alemania_occidental.php,AlemaniaOccidental,Minuto73,Reuter_Stefan,Berthold_Thomas
Mundial 1986,Bulgaria,Italia,https://www.losmundialesdefutbol.com/../partidos/1986_bulgaria_italia.php,Bulgaria,Minuto65,Kostadinov_Kostadin,Iskrenov_Bozhidar
Mundial 1986,Bulgaria,Italia,https://www.losmundialesdefutbol.com/../partidos/1986_bulgaria_italia.php,Bulgaria,Minuto74,Zhelyazkov_Andrei,Gospodinov_Zhivko
Mundial 1986,Bulgaria,Italia,https://www.losmundialesdefutbol.com/../partidos/1986_bulgaria_italia.php,Italia,Minuto65,Vialli_Gianluca,Conti_Bruno
Mundial 1986,España,Brasil,https://www.losmundialesdefutbol.com/../partidos/1986_espana_brasil.php,España,Minuto82,Antonio_Juan,Francisco
Mundial 1986,España,Brasil,https://www.losmundialesdefutbol.com/../partidos/1986_espana_brasil.php,Brasil,Minuto66,Muller,Casagrande
Mundial 1986,España,Brasil,https://www.losmundialesdefutbol.com/../partidos/1986_espana_brasil.php,Brasil,Minuto79,Falcao,Junior
Mundial 1986,Canadá,Francia,https://www.losmundialesdefutbol.com/../partidos/1986_canada_francia.php,Canadá,Minuto54,Lowery_James,Sweeney_Mike
Mundial 1986,Canadá,Francia,https://www.losmundialesdefutbol.com/../partidos/1986_canada_francia.php,Canadá,Minuto81,Segota_Branko,James_Paul
Mundial 1986,Canadá,Francia,https://www.losmundialesdefutbol.com/../partidos/1986_canada_francia.php,Francia,Minuto70,Stopyra_Yannick,Rocheteau_Dominique
Mundial 1986,URSS,Hungría,https://www.losmundialesdefutbol.com/../partidos/1986_urss_hungria.php,URSS,Minuto69,Rodionov_Sergei,Belanov_Igor
Mundial 1986,URSS,Hungría,https://www.losmundialesdefutbol.com/../partidos/1986_urss_hungria.php,URSS,Minuto72,Yevtushenko_Vadim,Yakovenko_Pavel
Mundial 1986,URSS,Hungría,https://www.losmundialesdefutbol.com/../partidos/1986_urss_hungria.php,Hungría,Minuto13,Burcsa_Gyozo,Roth_Antal
Mundial 1986,URSS,Hungría,https://www.losmundialesdefutbol.com/../partidos/1986_urss_hungria.php,Hungría,Minuto62,Dajka_Laszlo,Peter_Zoltan
Mundial 1986,Marruecos,Polonia,https://www.losmundialesdefutbol.com/../partidos/1986_marruecos_polonia.php,Marruecos,Minuto87,Aziz_Abdel,El_Mustapha
Mundial 1986,Marruecos,Polonia,https://www.losmundialesdefutbol.com/../partidos/1986_marruecos_polonia.php,Marruecos,Minuto88,Khairi_Abdelrazzak,Timoumi_Mohamed
Mundial 1986,Marruecos,Polonia,https://www.losmundialesdefutbol.com/../partidos/1986_marruecos_polonia.php,Polonia,Minuto45(enelentretiempo),Przybys_Kazimierz,Kubicki_Dariusz
Mundial 1986,Marruecos,Polonia,https://www.losmundialesdefutbol.com/../partidos/1986_marruecos_polonia.php,Polonia,Minuto56,Urban_Jan,Dziekanowski_Dariusz
Mundial 1986,Argentina,CoreadelSur,https://www.losmundialesdefutbol.com/../partidos/1986_argentina_corea_del_sur.php,Argentina,Minuto74,Tapia_Carlos,Pasculli_Pedro
Mundial 1986,Argentina,CoreadelSur,https://www.losmundialesdefutbol.com/../partidos/1986_argentina_corea_del_sur.php,Argentina,Minuto75,Olarticoechea_Julio,Batista_Sergio
Mundial 1986,Argentina,CoreadelSur,https://www.losmundialesdefutbol.com/../partidos/1986_argentina_corea_del_sur.php,CoreadelSur,Minuto23,Rae_Kwang,Seok_Pyung
Mundial 1986,Argentina,CoreadelSur,https://www.losmundialesdefutbol.com/../partidos/1986_argentina_corea_del_sur.php,CoreadelSur,Minuto46(enelentretiempo),Joo_Byung,Se_Young
Mundial 1986,Portugal,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1986_portugal_inglaterra.php,Portugal,Minuto73,Futre,Gomes
Mundial 1986,Portugal,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1986_portugal_inglaterra.php,Portugal,Minuto82,Antonio_Jose,Diamantino
Mundial 1986,Portugal,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1986_portugal_inglaterra.php,Inglaterra,Minuto80,Hodge_Steve,Robson_Bryan
Mundial 1986,Portugal,Inglaterra,https://www.losmundialesdefutbol.com/../partidos/1986_portugal_inglaterra.php,Inglaterra,Minuto80,Beardsley_Peter,Waddle_Chris
Mundial 1986,Argelia,IrlandadelNorte,https://www.losmundialesdefutbol.com/../partidos/1986_argelia_irlanda_del_norte.php,Argelia,Minuto33,Harkouk_Rachid,Madjer_Rabah
Mundial 1986,Argelia,IrlandadelNorte,https://www.losmundialesdefutbol.com/../partidos/1986_argelia_irlanda_del_norte.php,Argelia,Minuto71,Belloumi_Lakhdar,Zidane_Djamel
Mundial 1986,Argelia,IrlandadelNorte,https://www.losmundialesdefutbol.com/../partidos/1986_argelia_irlanda_del_norte.php,IrlandadelNorte,Minuto67,Stewart_Ian,Penney_Steven
Mundial 1986,Argelia,IrlandadelNorte,https://www.losmundialesdefutbol.com/../partidos/1986_argelia_irlanda_del_norte.php,IrlandadelNorte,Minuto81,Clarke_Colin,Whiteside_Norman
Mundial 1986,Bélgica,México,https://www.losmundialesdefutbol.com/../partidos/1986_belgica_mexico.php,Bélgica,Minuto60,Claesen_Nico,Desmet_Philippe
Mundial 1986,Bélgica,México,https://www.losmundialesdefutbol.com/../partidos/1986_belgica_mexico.php,Bélgica,Minuto66,Demol_Stephane,Vandenbergh_Erwin
Mundial 1986,Bélgica,México,https://www.losmundialesdefutbol.com/../partidos/1986_belgica_mexico.php,México,Minuto69,Espana_Miguel,Boy_Tomas
Mundial 1986,Bélgica,México,https://www.losmundialesdefutbol.com/../partidos/1986_belgica_mexico.php,México,Minuto79,Cruz_Francisco,Flores_Luis
Mundial 1986,Uruguay,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1986_uruguay_alemania_occidental.php,Uruguay,Minuto56,Saralegui_Mario,Barrios_Jorge
Mundial 1986,Uruguay,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1986_uruguay_alemania_occidental.php,Uruguay,Minuto80,Ramos_Venancio,Alzamendi_Antonio
Mundial 1986,Uruguay,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1986_uruguay_alemania_occidental.php,AlemaniaOccidental,Minuto46(enelentretiempo),Littbarski_Pierre,Brehme_Andreas
Mundial 1986,Uruguay,AlemaniaOccidental,https://www.losmundialesdefutbol.com/../partidos/1986_uruguay_alemania_occidental.php,AlemaniaOccidental,Minuto70,Rummenigge_Karl-Heinz,Matthaeus_Lothar
Mundial 1986,Paraguay,Iraq,https://www.losmundialesdefutbol.com/../partidos/1986_paraguay_iraq.php,Paraguay,Minuto88,Guasch_Jorge,Mendoza_Alfredo
Mundial 1986,Paraguay,Iraq,https://www.losmundialesdefutbol.com/../partidos/1986_paraguay_iraq.php,Iraq,Minuto67,Abdul-Rahim,Haris_Mohamed
Mundial 1986,Paraguay,Iraq,https://www.losmundialesdefutbol.com/../partidos/1986_paraguay_iraq.php,Iraq,Minuto81,Bassim_Qassim,Gorgis_Bassel
Mundial 1986,Escocia,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/1986_escocia_dinamarca.php,Escocia,Minuto61,Mcavennie_Frank,Sturrock_Paul
Mundial 1986,Escocia,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/1986_escocia_dinamarca.php,Escocia,Minuto74,Bannon_Eamonn,Strachan_Gordon
Mundial 1986,Escocia,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/1986_escocia_dinamarca.php,Dinamarca,Minuto74,Sivebaek_John,Arnesen_Frank
Mundial 1986,Escocia,Dinamarca,https://www.losmundialesdefutbol.com/../partidos/1986_escocia_dinamarca.php,Dinamarca,Minuto80,Molby_Jan,Olsen_Jesper
Mundial 1986,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1986_italia_argentina.php,Italia,Minuto65,Vialli_Gianluca,Conti_Bruno
Mundial 1986,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1986_italia_argentina.php,Italia,Minuto87,Baresi_Giuseppe,De_Fernando
Mundial 1986,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1986_italia_argentina.php,Argentina,Minuto59,Olarticoechea_Julio,Batista_Sergio
Mundial 1986,Italia,Argentina,https://www.losmundialesdefutbol.com/../partidos/1986_italia_argentina.php,Argentina,Minuto74,Enrique_Hector,Borghi_Claudio
Mundial 1986,Francia,URSS,https://www.losmundialesdefutbol.com/../partidos/1986_francia_urss.php,Francia,Minuto76,Bellone_Bruno,Papin_Jean-Pierre
Mundial 1986,Francia,URSS,https://www.losmundialesdefutbol.com/../partidos/1986_francia_urss.php,Francia,Minuto83,Vercruysse_Philippe,Giresse_Alain
Mundial 1986,Francia,URSS,https://www.losmundialesdefutbol.com/../partidos/1986_francia_urss.php,URSS,Minuto58,Blokhin_Oleg,Zavarov_Aleksandr
Mundial 1986,Francia,URSS,https://www.losmundialesdefutbol.com/../partidos/1986_francia_urss.php,URSS,Minuto68,Rodionov_Sergei,Yakovenko_Pavel
Mundial 1986,CoreadelSur,Bulgaria,https://www.losmundialesdefutbol.com/../partidos/1986_corea_del_sur_bulgaria.php,CoreadelSur,Minuto46(enelentretiempo),Boo_Jong,Jin_Soo
