Mundia,link,Etapa,Resultado,Equipo1,Equipo2,Fecha
Mundial 2002,/partidos/2002_brasil_turquia.php,1raRonda_GrupoC,2-1,Brasil,Turquía,Fecha:03-Jun-2002
Mundial 2002,/partidos/2002_italia_ecuador.php,1raRonda_GrupoG,2-0,Italia,Ecuador,Fecha:03-Jun-2002
Mundial 2002,/partidos/2002_china_costa_rica.php,1raRonda_GrupoC,0-2,China,CostaRica,Fecha:04-Jun-2002
Mundial 2002,/partidos/2002_japon_belgica.php,1raRonda_GrupoH,2-2,Japón,Bélgica,Fecha:04-Jun-2002
Mundial 2002,/partidos/2002_corea_del_sur_polonia.php,1raRonda_GrupoD,2-0,CoreadelSur,Polonia,Fecha:04-Jun-2002
Mundial 2002,/partidos/2002_rusia_tunez.php,1raRonda_GrupoH,2-0,Rusia,Túnez,Fecha:05-Jun-2002
Mundial 2002,/partidos/2002_estados_unidos_portugal.php,1raRonda_GrupoD,3-2,EstadosUnidos,Portugal,Fecha:05-Jun-2002
Mundial 2002,/partidos/2002_alemania_irlanda.php,1raRonda_GrupoE,1-1,Alemania,Irlanda,Fecha:05-Jun-2002
Mundial 2002,/partidos/2002_francia_uruguay.php,1raRonda_GrupoA,0-0,Francia,Uruguay,Fecha:06-Jun-2002
Mundial 2002,/partidos/2002_camerun_arabia_saudita.php,1raRonda_GrupoE,1-0,Camerún,ArabiaSaudita,Fecha:06-Jun-2002
Mundial 2002,/partidos/2002_dinamarca_senegal.php,1raRonda_GrupoA,1-1,Dinamarca,Senegal,Fecha:06-Jun-2002
Mundial 2002,/partidos/2002_suecia_nigeria.php,1raRonda_GrupoF,2-1,Suecia,Nigeria,Fecha:07-Jun-2002
Mundial 2002,/partidos/2002_espana_paraguay.php,1raRonda_GrupoB,3-1,España,Paraguay,Fecha:07-Jun-2002
Mundial 2002,/partidos/2002_argentina_inglaterra.php,1raRonda_GrupoF,0-1,Argentina,Inglaterra,Fecha:07-Jun-2002
Mundial 2002,/partidos/2002_sudafrica_eslovenia.php,1raRonda_GrupoB,1-0,Sudáfrica,Eslovenia,Fecha:08-Jun-2002
Mundial 2002,/partidos/2002_italia_croacia.php,1raRonda_GrupoG,1-2,Italia,Croacia,Fecha:08-Jun-2002
Mundial 2002,/partidos/2002_brasil_china.php,1raRonda_GrupoC,4-0,Brasil,China,Fecha:08-Jun-2002
Mundial 2002,/partidos/2002_mexico_ecuador.php,1raRonda_GrupoG,2-1,México,Ecuador,Fecha:09-Jun-2002
Mundial 2002,/partidos/2002_costa_rica_turquia.php,1raRonda_GrupoC,1-1,CostaRica,Turquía,Fecha:09-Jun-2002
Mundial 2002,/partidos/2002_japon_rusia.php,1raRonda_GrupoH,1-0,Japón,Rusia,Fecha:09-Jun-2002
Mundial 2002,/partidos/2002_corea_del_sur_estados_unidos.php,1raRonda_GrupoD,1-1,CoreadelSur,EstadosUnidos,Fecha:10-Jun-2002
Mundial 2002,/partidos/2002_tunez_belgica.php,1raRonda_GrupoH,1-1,Túnez,Bélgica,Fecha:10-Jun-2002
Mundial 2002,/partidos/2002_portugal_polonia.php,1raRonda_GrupoD,4-0,Portugal,Polonia,Fecha:10-Jun-2002
Mundial 2002,/partidos/2002_dinamarca_francia.php,1raRonda_GrupoA,2-0,Dinamarca,Francia,Fecha:11-Jun-2002
Mundial 2002,/partidos/2002_senegal_uruguay.php,1raRonda_GrupoA,3-3,Senegal,Uruguay,Fecha:11-Jun-2002
Mundial 2002,/partidos/2002_camerun_alemania.php,1raRonda_GrupoE,0-2,Camerún,Alemania,Fecha:11-Jun-2002
Mundial 2002,/partidos/2002_arabia_saudita_irlanda.php,1raRonda_GrupoE,0-3,ArabiaSaudita,Irlanda,Fecha:11-Jun-2002
Mundial 2002,/partidos/2002_suecia_argentina.php,1raRonda_GrupoF,1-1,Suecia,Argentina,Fecha:12-Jun-2002
Mundial 2002,/partidos/2002_nigeria_inglaterra.php,1raRonda_GrupoF,0-0,Nigeria,Inglaterra,Fecha:12-Jun-2002
Mundial 2002,/partidos/2002_sudafrica_espana.php,1raRonda_GrupoB,2-3,Sudáfrica,España,Fecha:12-Jun-2002
Mundial 2002,/partidos/2002_eslovenia_paraguay.php,1raRonda_GrupoB,1-3,Eslovenia,Paraguay,Fecha:12-Jun-2002
Mundial 2002,/partidos/2002_costa_rica_brasil.php,1raRonda_GrupoC,2-5,CostaRica,Brasil,Fecha:13-Jun-2002
Mundial 2002,/partidos/2002_turquia_china.php,1raRonda_GrupoC,3-0,Turquía,China,Fecha:13-Jun-2002
Mundial 2002,/partidos/2002_mexico_italia.php,1raRonda_GrupoG,1-1,México,Italia,Fecha:13-Jun-2002
Mundial 2002,/partidos/2002_ecuador_croacia.php,1raRonda_GrupoG,1-0,Ecuador,Croacia,Fecha:13-Jun-2002
Mundial 2002,/partidos/2002_tunez_japon.php,1raRonda_GrupoH,0-2,Túnez,Japón,Fecha:14-Jun-2002
Mundial 2002,/partidos/2002_belgica_rusia.php,1raRonda_GrupoH,3-2,Bélgica,Rusia,Fecha:14-Jun-2002
Mundial 2002,/partidos/2002_portugal_corea_del_sur.php,1raRonda_GrupoD,0-1,Portugal,CoreadelSur,Fecha:14-Jun-2002
Mundial 2002,/partidos/2002_polonia_estados_unidos.php,1raRonda_GrupoD,3-1,Polonia,EstadosUnidos,Fecha:14-Jun-2002
Mundial 2002,/partidos/2002_alemania_paraguay.php,Octavos,1-0,Alemania,Paraguay,Fecha:15-Jun-2002
Mundial 2002,/partidos/2002_dinamarca_inglaterra.php,Octavos,0-3,Dinamarca,Inglaterra,Fecha:15-Jun-2002
Mundial 2002,/partidos/2002_suecia_senegal.php,Octavos,1-2,Suecia,Senegal,Fecha:16-Jun-2002
Mundial 2002,/partidos/2002_espana_irlanda.php,Octavos,1-1,España,Irlanda,Fecha:16-Jun-2002
Mundial 2002,/partidos/2002_mexico_estados_unidos.php,Octavos,0-2,México,EstadosUnidos,Fecha:17-Jun-2002
Mundial 2002,/partidos/2002_brasil_belgica.php,Octavos,2-0,Brasil,Bélgica,Fecha:17-Jun-2002
Mundial 2002,/partidos/2002_japon_turquia.php,Octavos,0-1,Japón,Turquía,Fecha:18-Jun-2002
Mundial 2002,/partidos/2002_corea_del_sur_italia.php,Octavos,2-1,CoreadelSur,Italia,Fecha:18-Jun-2002
Mundial 2002,/partidos/2002_inglaterra_brasil.php,Cuartos,1-2,Inglaterra,Brasil,Fecha:21-Jun-2002
Mundial 2002,/partidos/2002_alemania_estados_unidos.php,Cuartos,1-0,Alemania,EstadosUnidos,Fecha:21-Jun-2002
Mundial 2002,/partidos/2002_espana_corea_del_sur.php,Cuartos,0-0,España,CoreadelSur,Fecha:22-Jun-2002
Mundial 2002,/partidos/2002_senegal_turquia.php,Cuartos,0-1,Senegal,Turquía,Fecha:22-Jun-2002
Mundial 2002,/partidos/2002_alemania_corea_del_sur.php,Semis,1-0,Alemania,CoreadelSur,Fecha:25-Jun-2002
Mundial 2002,/partidos/2002_brasil_turquia_2.php,Semis,1-0,Brasil,Turquía,Fecha:26-Jun-2002
Mundial 2002,/partidos/2002_corea_del_sur_turquia.php,3erPuesto,2-3,CoreadelSur,Turquía,Fecha:29-Jun-2002
Mundial 2002,/partidos/2002_alemania_brasil.php,Final,0-2,Alemania,Brasil,Fecha:30-Jun-2002
Mundial 1998,/partidos/1998_brasil_escocia.php,1raRonda_GrupoA,2-1,Brasil,Escocia,Fecha:10-Jun-1998
Mundial 1998,/partidos/1998_marruecos_noruega.php,1raRonda_GrupoA,2-2,Marruecos,Noruega,Fecha:10-Jun-1998
Mundial 1998,/partidos/1998_camerun_austria.php,1raRonda_GrupoB,1-1,Camerún,Austria,Fecha:11-Jun-1998
Mundial 1998,/partidos/1998_italia_chile.php,1raRonda_GrupoB,2-2,Italia,Chile,Fecha:11-Jun-1998
Mundial 1998,/partidos/1998_arabia_saudita_dinamarca.php,1raRonda_GrupoC,0-1,ArabiaSaudita,Dinamarca,Fecha:12-Jun-1998
Mundial 1998,/partidos/1998_francia_sudafrica.php,1raRonda_GrupoC,3-0,Francia,Sudáfrica,Fecha:12-Jun-1998
Mundial 1998,/partidos/1998_paraguay_bulgaria.php,1raRonda_GrupoD,0-0,Paraguay,Bulgaria,Fecha:12-Jun-1998
Mundial 1998,/partidos/1998_holanda_belgica.php,1raRonda_GrupoE,0-0,Holanda,Bélgica,Fecha:13-Jun-1998
Mundial 1998,/partidos/1998_corea_del_sur_mexico.php,1raRonda_GrupoE,1-3,CoreadelSur,México,Fecha:13-Jun-1998
Mundial 1998,/partidos/1998_espana_nigeria.php,1raRonda_GrupoD,2-3,España,Nigeria,Fecha:13-Jun-1998
Mundial 1998,/partidos/1998_jamaica_croacia.php,1raRonda_GrupoH,1-3,Jamaica,Croacia,Fecha:14-Jun-1998
Mundial 1998,/partidos/1998_rf_de_yugoslavia_iran.php,1raRonda_GrupoF,1-0,RFdeYugoslavia,Irán,Fecha:14-Jun-1998
Mundial 1998,/partidos/1998_argentina_japon.php,1raRonda_GrupoH,1-0,Argentina,Japón,Fecha:14-Jun-1998
Mundial 1998,/partidos/1998_alemania_estados_unidos.php,1raRonda_GrupoF,2-0,Alemania,EstadosUnidos,Fecha:15-Jun-1998
Mundial 1998,/partidos/1998_rumania_colombia.php,1raRonda_GrupoG,1-0,Rumania,Colombia,Fecha:15-Jun-1998
Mundial 1998,/partidos/1998_inglaterra_tunez.php,1raRonda_GrupoG,2-0,Inglaterra,Túnez,Fecha:15-Jun-1998
Mundial 1998,/partidos/1998_escocia_noruega.php,1raRonda_GrupoA,1-1,Escocia,Noruega,Fecha:16-Jun-1998
Mundial 1998,/partidos/1998_brasil_marruecos.php,1raRonda_GrupoA,3-0,Brasil,Marruecos,Fecha:16-Jun-1998
Mundial 1998,/partidos/1998_chile_austria.php,1raRonda_GrupoB,1-1,Chile,Austria,Fecha:17-Jun-1998
Mundial 1998,/partidos/1998_italia_camerun.php,1raRonda_GrupoB,3-0,Italia,Camerún,Fecha:17-Jun-1998
Mundial 1998,/partidos/1998_francia_arabia_saudita.php,1raRonda_GrupoC,4-0,Francia,ArabiaSaudita,Fecha:18-Jun-1998
Mundial 1998,/partidos/1998_sudafrica_dinamarca.php,1raRonda_GrupoC,1-1,Sudáfrica,Dinamarca,Fecha:18-Jun-1998
Mundial 1998,/partidos/1998_nigeria_bulgaria.php,1raRonda_GrupoD,1-0,Nigeria,Bulgaria,Fecha:19-Jun-1998
Mundial 1998,/partidos/1998_espana_paraguay.php,1raRonda_GrupoD,0-0,España,Paraguay,Fecha:19-Jun-1998
Mundial 1998,/partidos/1998_holanda_corea_del_sur.php,1raRonda_GrupoE,5-0,Holanda,CoreadelSur,Fecha:20-Jun-1998
Mundial 1998,/partidos/1998_belgica_mexico.php,1raRonda_GrupoE,2-2,Bélgica,México,Fecha:20-Jun-1998
Mundial 1998,/partidos/1998_japon_croacia.php,1raRonda_GrupoH,0-1,Japón,Croacia,Fecha:20-Jun-1998
Mundial 1998,/partidos/1998_argentina_jamaica.php,1raRonda_GrupoH,5-0,Argentina,Jamaica,Fecha:21-Jun-1998
Mundial 1998,/partidos/1998_alemania_rf_de_yugoslavia.php,1raRonda_GrupoF,2-2,Alemania,RFdeYugoslavia,Fecha:21-Jun-1998
Mundial 1998,/partidos/1998_estados_unidos_iran.php,1raRonda_GrupoF,1-2,EstadosUnidos,Irán,Fecha:21-Jun-1998
Mundial 1998,/partidos/1998_colombia_tunez.php,1raRonda_GrupoG,1-0,Colombia,Túnez,Fecha:22-Jun-1998
Mundial 1998,/partidos/1998_rumania_inglaterra.php,1raRonda_GrupoG,2-1,Rumania,Inglaterra,Fecha:22-Jun-1998
Mundial 1998,/partidos/1998_italia_austria.php,1raRonda_GrupoB,2-1,Italia,Austria,Fecha:23-Jun-1998
Mundial 1998,/partidos/1998_escocia_marruecos.php,1raRonda_GrupoA,0-3,Escocia,Marruecos,Fecha:23-Jun-1998
Mundial 1998,/partidos/1998_brasil_noruega.php,1raRonda_GrupoA,1-2,Brasil,Noruega,Fecha:23-Jun-1998
Mundial 1998,/partidos/1998_chile_camerun.php,1raRonda_GrupoB,1-1,Chile,Camerún,Fecha:23-Jun-1998
Mundial 1998,/partidos/1998_espana_bulgaria.php,1raRonda_GrupoD,6-1,España,Bulgaria,Fecha:24-Jun-1998
Mundial 1998,/partidos/1998_francia_dinamarca.php,1raRonda_GrupoC,2-1,Francia,Dinamarca,Fecha:24-Jun-1998
Mundial 1998,/partidos/1998_nigeria_paraguay.php,1raRonda_GrupoD,1-3,Nigeria,Paraguay,Fecha:24-Jun-1998
Mundial 1998,/partidos/1998_sudafrica_arabia_saudita.php,1raRonda_GrupoC,2-2,Sudáfrica,ArabiaSaudita,Fecha:24-Jun-1998
Mundial 1998,/partidos/1998_belgica_corea_del_sur.php,1raRonda_GrupoE,1-1,Bélgica,CoreadelSur,Fecha:25-Jun-1998
Mundial 1998,/partidos/1998_holanda_mexico.php,1raRonda_GrupoE,2-2,Holanda,México,Fecha:25-Jun-1998
Mundial 1998,/partidos/1998_alemania_iran.php,1raRonda_GrupoF,2-0,Alemania,Irán,Fecha:25-Jun-1998
Mundial 1998,/partidos/1998_estados_unidos_rf_de_yugoslavia.php,1raRonda_GrupoF,0-1,EstadosUnidos,RFdeYugoslavia,Fecha:25-Jun-1998
Mundial 1998,/partidos/1998_rumania_tunez.php,1raRonda_GrupoG,1-1,Rumania,Túnez,Fecha:26-Jun-1998
Mundial 1998,/partidos/1998_colombia_inglaterra.php,1raRonda_GrupoG,0-2,Colombia,Inglaterra,Fecha:26-Jun-1998
Mundial 1998,/partidos/1998_japon_jamaica.php,1raRonda_GrupoH,1-2,Japón,Jamaica,Fecha:26-Jun-1998
Mundial 1998,/partidos/1998_argentina_croacia.php,1raRonda_GrupoH,1-0,Argentina,Croacia,Fecha:26-Jun-1998
Mundial 1998,/partidos/1998_brasil_chile.php,Octavos,4-1,Brasil,Chile,Fecha:27-Jun-1998
Mundial 1998,/partidos/1998_italia_noruega.php,Octavos,1-0,Italia,Noruega,Fecha:27-Jun-1998
Mundial 1998,/partidos/1998_nigeria_dinamarca.php,Octavos,1-4,Nigeria,Dinamarca,Fecha:28-Jun-1998
Mundial 1998,/partidos/1998_francia_paraguay.php,Octavos,1-0,Francia,Paraguay,Fecha:28-Jun-1998
Mundial 1998,/partidos/1998_alemania_mexico.php,Octavos,2-1,Alemania,México,Fecha:29-Jun-1998
Mundial 1998,/partidos/1998_holanda_rf_de_yugoslavia.php,Octavos,2-1,Holanda,RFdeYugoslavia,Fecha:29-Jun-1998
Mundial 1998,/partidos/1998_argentina_inglaterra.php,Octavos,2-2,Argentina,Inglaterra,Fecha:30-Jun-1998
Mundial 1998,/partidos/1998_rumania_croacia.php,Octavos,0-1,Rumania,Croacia,Fecha:30-Jun-1998
Mundial 1998,/partidos/1998_italia_francia.php,Cuartos,0-0,Italia,Francia,Fecha:03-Jul-1998
Mundial 1998,/partidos/1998_brasil_dinamarca.php,Cuartos,3-2,Brasil,Dinamarca,Fecha:03-Jul-1998
Mundial 1998,/partidos/1998_alemania_croacia.php,Cuartos,0-3,Alemania,Croacia,Fecha:04-Jul-1998
Mundial 1998,/partidos/1998_holanda_argentina.php,Cuartos,2-1,Holanda,Argentina,Fecha:04-Jul-1998
Mundial 1998,/partidos/1998_brasil_holanda.php,Semis,1-1,Brasil,Holanda,Fecha:07-Jul-1998
Mundial 1998,/partidos/1998_francia_croacia.php,Semis,2-1,Francia,Croacia,Fecha:08-Jul-1998
Mundial 1998,/partidos/1998_holanda_croacia.php,3erPuesto,1-2,Holanda,Croacia,Fecha:11-Jul-1998
Mundial 1998,/partidos/1998_brasil_francia.php,Final,0-3,Brasil,Francia,Fecha:12-Jul-1998
Mundial 1994,/partidos/1994_alemania_bolivia.php,1raRonda_GrupoC,1-0,Alemania,Bolivia,Fecha:17-Jun-1994
Mundial 1994,/partidos/1994_espana_corea_del_sur.php,1raRonda_GrupoC,2-2,España,CoreadelSur,Fecha:17-Jun-1994
Mundial 1994,/partidos/1994_estados_unidos_suiza.php,1raRonda_GrupoA,1-1,EstadosUnidos,Suiza,Fecha:18-Jun-1994
Mundial 1994,/partidos/1994_italia_irlanda.php,1raRonda_GrupoE,0-1,Italia,Irlanda,Fecha:18-Jun-1994
Mundial 1994,/partidos/1994_colombia_rumania.php,1raRonda_GrupoA,1-3,Colombia,Rumania,Fecha:18-Jun-1994
Mundial 1994,/partidos/1994_belgica_marruecos.php,1raRonda_GrupoF,1-0,Bélgica,Marruecos,Fecha:19-Jun-1994
Mundial 1994,/partidos/1994_noruega_mexico.php,1raRonda_GrupoE,1-0,Noruega,México,Fecha:19-Jun-1994
Mundial 1994,/partidos/1994_camerun_suecia.php,1raRonda_GrupoB,2-2,Camerún,Suecia,Fecha:19-Jun-1994
Mundial 1994,/partidos/1994_brasil_rusia.php,1raRonda_GrupoB,2-0,Brasil,Rusia,Fecha:20-Jun-1994
Mundial 1994,/partidos/1994_holanda_arabia_saudita.php,1raRonda_GrupoF,2-1,Holanda,ArabiaSaudita,Fecha:20-Jun-1994
Mundial 1994,/partidos/1994_argentina_grecia.php,1raRonda_GrupoD,4-0,Argentina,Grecia,Fecha:21-Jun-1994
Mundial 1994,/partidos/1994_alemania_espana.php,1raRonda_GrupoC,1-1,Alemania,España,Fecha:21-Jun-1994
Mundial 1994,/partidos/1994_nigeria_bulgaria.php,1raRonda_GrupoD,3-0,Nigeria,Bulgaria,Fecha:21-Jun-1994
Mundial 1994,/partidos/1994_rumania_suiza.php,1raRonda_GrupoA,1-4,Rumania,Suiza,Fecha:22-Jun-1994
Mundial 1994,/partidos/1994_estados_unidos_colombia.php,1raRonda_GrupoA,2-1,EstadosUnidos,Colombia,Fecha:22-Jun-1994
Mundial 1994,/partidos/1994_italia_noruega.php,1raRonda_GrupoE,1-0,Italia,Noruega,Fecha:23-Jun-1994
Mundial 1994,/partidos/1994_corea_del_sur_bolivia.php,1raRonda_GrupoC,0-0,CoreadelSur,Bolivia,Fecha:23-Jun-1994
Mundial 1994,/partidos/1994_mexico_irlanda.php,1raRonda_GrupoE,2-1,México,Irlanda,Fecha:24-Jun-1994
Mundial 1994,/partidos/1994_brasil_camerun.php,1raRonda_GrupoB,3-0,Brasil,Camerún,Fecha:24-Jun-1994
Mundial 1994,/partidos/1994_suecia_rusia.php,1raRonda_GrupoB,3-1,Suecia,Rusia,Fecha:24-Jun-1994
Mundial 1994,/partidos/1994_belgica_holanda.php,1raRonda_GrupoF,1-0,Bélgica,Holanda,Fecha:25-Jun-1994
Mundial 1994,/partidos/1994_arabia_saudita_marruecos.php,1raRonda_GrupoF,2-1,ArabiaSaudita,Marruecos,Fecha:25-Jun-1994
Mundial 1994,/partidos/1994_argentina_nigeria.php,1raRonda_GrupoD,2-1,Argentina,Nigeria,Fecha:25-Jun-1994
Mundial 1994,/partidos/1994_bulgaria_grecia.php,1raRonda_GrupoD,4-0,Bulgaria,Grecia,Fecha:26-Jun-1994
Mundial 1994,/partidos/1994_estados_unidos_rumania.php,1raRonda_GrupoA,0-1,EstadosUnidos,Rumania,Fecha:26-Jun-1994
Mundial 1994,/partidos/1994_suiza_colombia.php,1raRonda_GrupoA,0-2,Suiza,Colombia,Fecha:26-Jun-1994
Mundial 1994,/partidos/1994_bolivia_espana.php,1raRonda_GrupoC,1-3,Bolivia,España,Fecha:27-Jun-1994
Mundial 1994,/partidos/1994_alemania_corea_del_sur.php,1raRonda_GrupoC,3-2,Alemania,CoreadelSur,Fecha:27-Jun-1994
Mundial 1994,/partidos/1994_irlanda_noruega.php,1raRonda_GrupoE,0-0,Irlanda,Noruega,Fecha:28-Jun-1994
Mundial 1994,/partidos/1994_italia_mexico.php,1raRonda_GrupoE,1-1,Italia,México,Fecha:28-Jun-1994
Mundial 1994,/partidos/1994_rusia_camerun.php,1raRonda_GrupoB,6-1,Rusia,Camerún,Fecha:28-Jun-1994
Mundial 1994,/partidos/1994_brasil_suecia.php,1raRonda_GrupoB,1-1,Brasil,Suecia,Fecha:28-Jun-1994
Mundial 1994,/partidos/1994_marruecos_holanda.php,1raRonda_GrupoF,1-2,Marruecos,Holanda,Fecha:29-Jun-1994
Mundial 1994,/partidos/1994_belgica_arabia_saudita.php,1raRonda_GrupoF,0-1,Bélgica,ArabiaSaudita,Fecha:29-Jun-1994
Mundial 1994,/partidos/1994_grecia_nigeria.php,1raRonda_GrupoD,0-2,Grecia,Nigeria,Fecha:30-Jun-1994
Mundial 1994,/partidos/1994_argentina_bulgaria.php,1raRonda_GrupoD,0-2,Argentina,Bulgaria,Fecha:30-Jun-1994
Mundial 1994,/partidos/1994_alemania_belgica.php,Octavos,3-2,Alemania,Bélgica,Fecha:02-Jul-1994
Mundial 1994,/partidos/1994_espana_suiza.php,Octavos,3-0,España,Suiza,Fecha:02-Jul-1994
Mundial 1994,/partidos/1994_arabia_saudita_suecia.php,Octavos,1-3,ArabiaSaudita,Suecia,Fecha:03-Jul-1994
Mundial 1994,/partidos/1994_rumania_argentina.php,Octavos,3-2,Rumania,Argentina,Fecha:03-Jul-1994
Mundial 1994,/partidos/1994_holanda_irlanda.php,Octavos,2-0,Holanda,Irlanda,Fecha:04-Jul-1994
Mundial 1994,/partidos/1994_brasil_estados_unidos.php,Octavos,1-0,Brasil,EstadosUnidos,Fecha:04-Jul-1994
Mundial 1994,/partidos/1994_nigeria_italia.php,Octavos,1-2,Nigeria,Italia,Fecha:05-Jul-1994
Mundial 1994,/partidos/1994_mexico_bulgaria.php,Octavos,1-1,México,Bulgaria,Fecha:05-Jul-1994
Mundial 1994,/partidos/1994_italia_espana.php,Cuartos,2-1,Italia,España,Fecha:09-Jul-1994
Mundial 1994,/partidos/1994_holanda_brasil.php,Cuartos,2-3,Holanda,Brasil,Fecha:09-Jul-1994
Mundial 1994,/partidos/1994_bulgaria_alemania.php,Cuartos,2-1,Bulgaria,Alemania,Fecha:10-Jul-1994
Mundial 1994,/partidos/1994_rumania_suecia.php,Cuartos,2-2,Rumania,Suecia,Fecha:10-Jul-1994
Mundial 1994,/partidos/1994_bulgaria_italia.php,Semis,1-2,Bulgaria,Italia,Fecha:13-Jul-1994
Mundial 1994,/partidos/1994_suecia_brasil.php,Semis,0-1,Suecia,Brasil,Fecha:13-Jul-1994
Mundial 1994,/partidos/1994_suecia_bulgaria.php,3erPuesto,4-0,Suecia,Bulgaria,Fecha:16-Jul-1994
Mundial 1994,/partidos/1994_brasil_italia.php,Final,0-0,Brasil,Italia,Fecha:17-Jul-1994
Mundial 1990,/partidos/1990_argentina_camerun.php,1raRonda_GrupoB,0-1,Argentina,Camerún,Fecha:08-Jun-1990
Mundial 1990,/partidos/1990_urss_rumania.php,1raRonda_GrupoB,0-2,URSS,Rumania,Fecha:09-Jun-1990
Mundial 1990,/partidos/1990_italia_austria.php,1raRonda_GrupoA,1-0,Italia,Austria,Fecha:09-Jun-1990
Mundial 1990,/partidos/1990_emiratos_arabes_colombia.php,1raRonda_GrupoD,0-2,EmiratosArabes,Colombia,Fecha:09-Jun-1990
Mundial 1990,/partidos/1990_estados_unidos_checoslovaquia.php,1raRonda_GrupoA,1-5,EstadosUnidos,Checoslovaquia,Fecha:10-Jun-1990
Mundial 1990,/partidos/1990_brasil_suecia.php,1raRonda_GrupoC,2-1,Brasil,Suecia,Fecha:10-Jun-1990
Mundial 1990,/partidos/1990_alemania_occidental_yugoslavia.php,1raRonda_GrupoD,4-1,AlemaniaOccidental,Yugoslavia,Fecha:10-Jun-1990
Mundial 1990,/partidos/1990_costa_rica_escocia.php,1raRonda_GrupoC,1-0,CostaRica,Escocia,Fecha:11-Jun-1990
Mundial 1990,/partidos/1990_inglaterra_irlanda.php,1raRonda_GrupoF,1-1,Inglaterra,Irlanda,Fecha:11-Jun-1990
Mundial 1990,/partidos/1990_belgica_corea_del_sur.php,1raRonda_GrupoE,2-0,Bélgica,CoreadelSur,Fecha:12-Jun-1990
Mundial 1990,/partidos/1990_holanda_egipto.php,1raRonda_GrupoF,1-1,Holanda,Egipto,Fecha:12-Jun-1990
Mundial 1990,/partidos/1990_uruguay_espana.php,1raRonda_GrupoE,0-0,Uruguay,España,Fecha:13-Jun-1990
Mundial 1990,/partidos/1990_argentina_urss.php,1raRonda_GrupoB,2-0,Argentina,URSS,Fecha:13-Jun-1990
Mundial 1990,/partidos/1990_yugoslavia_colombia.php,1raRonda_GrupoD,1-0,Yugoslavia,Colombia,Fecha:14-Jun-1990
Mundial 1990,/partidos/1990_italia_estados_unidos.php,1raRonda_GrupoA,1-0,Italia,EstadosUnidos,Fecha:14-Jun-1990
Mundial 1990,/partidos/1990_camerun_rumania.php,1raRonda_GrupoB,2-1,Camerún,Rumania,Fecha:14-Jun-1990
Mundial 1990,/partidos/1990_austria_checoslovaquia.php,1raRonda_GrupoA,0-1,Austria,Checoslovaquia,Fecha:15-Jun-1990
Mundial 1990,/partidos/1990_alemania_occidental_emiratos_arabes.php,1raRonda_GrupoD,5-1,AlemaniaOccidental,EmiratosArabes,Fecha:15-Jun-1990
Mundial 1990,/partidos/1990_brasil_costa_rica.php,1raRonda_GrupoC,1-0,Brasil,CostaRica,Fecha:16-Jun-1990
Mundial 1990,/partidos/1990_suecia_escocia.php,1raRonda_GrupoC,1-2,Suecia,Escocia,Fecha:16-Jun-1990
Mundial 1990,/partidos/1990_inglaterra_holanda.php,1raRonda_GrupoF,0-0,Inglaterra,Holanda,Fecha:16-Jun-1990
Mundial 1990,/partidos/1990_irlanda_egipto.php,1raRonda_GrupoF,0-0,Irlanda,Egipto,Fecha:17-Jun-1990
Mundial 1990,/partidos/1990_belgica_uruguay.php,1raRonda_GrupoE,3-1,Bélgica,Uruguay,Fecha:17-Jun-1990
Mundial 1990,/partidos/1990_corea_del_sur_espana.php,1raRonda_GrupoE,1-3,CoreadelSur,España,Fecha:17-Jun-1990
Mundial 1990,/partidos/1990_argentina_rumania.php,1raRonda_GrupoB,1-1,Argentina,Rumania,Fecha:18-Jun-1990
Mundial 1990,/partidos/1990_camerun_urss.php,1raRonda_GrupoB,0-4,Camerún,URSS,Fecha:18-Jun-1990
Mundial 1990,/partidos/1990_alemania_occidental_colombia.php,1raRonda_GrupoD,1-1,AlemaniaOccidental,Colombia,Fecha:19-Jun-1990
Mundial 1990,/partidos/1990_yugoslavia_emiratos_arabes.php,1raRonda_GrupoD,4-1,Yugoslavia,EmiratosArabes,Fecha:19-Jun-1990
Mundial 1990,/partidos/1990_italia_checoslovaquia.php,1raRonda_GrupoA,2-0,Italia,Checoslovaquia,Fecha:19-Jun-1990
Mundial 1990,/partidos/1990_austria_estados_unidos.php,1raRonda_GrupoA,2-1,Austria,EstadosUnidos,Fecha:19-Jun-1990
Mundial 1990,/partidos/1990_brasil_escocia.php,1raRonda_GrupoC,1-0,Brasil,Escocia,Fecha:20-Jun-1990
Mundial 1990,/partidos/1990_suecia_costa_rica.php,1raRonda_GrupoC,1-2,Suecia,CostaRica,Fecha:20-Jun-1990
Mundial 1990,/partidos/1990_belgica_espana.php,1raRonda_GrupoE,1-2,Bélgica,España,Fecha:21-Jun-1990
Mundial 1990,/partidos/1990_corea_del_sur_uruguay.php,1raRonda_GrupoE,0-1,CoreadelSur,Uruguay,Fecha:21-Jun-1990
Mundial 1990,/partidos/1990_inglaterra_egipto.php,1raRonda_GrupoF,1-0,Inglaterra,Egipto,Fecha:21-Jun-1990
Mundial 1990,/partidos/1990_irlanda_holanda.php,1raRonda_GrupoF,1-1,Irlanda,Holanda,Fecha:21-Jun-1990
Mundial 1990,/partidos/1990_camerun_colombia.php,Octavos,2-1,Camerún,Colombia,Fecha:23-Jun-1990
